%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -185643.28529158657, -185611.05407608201, -185712.01690578664, -185675.49415534668, -185684.25603917314, -185692.41442589933, -185754.596978974, -185731.7981996296, 0.126, 0.372, 0.29, 192.0, 3.0, 240.0, 11.0, 160.0, 9.0, 16.0, 0.0, 0.0, 0.0, 1.712460945792004E9, 0.0, 2024-04-06 23:35:45.792
1.0, -185648.24737885565, -185616.35143951792, -185716.71077212226, -185680.41153912683, -185689.24047818666, -185697.44356840177, -185759.58141798753, -185736.80499038758, 0.126, 0.372, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7124609457920563E9, 0.0, 2024-04-06 23:35:45.792
2.0, -185649.65553875634, -185617.84900639643, -185718.14128376739, -185681.95380949424, -185690.71569332073, -185698.98583876918, -185760.98957788822, -185738.32490901052, 0.126, 0.372, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.712460945792078E9, 0.0, 2024-04-06 23:35:45.792
3.0, -185647.77799222208, -185615.6138319509, -185716.5319581666, -185680.09861470445, -185688.77109155312, -185696.92947827931, -185759.0002726317, -185736.22384503172, 0.126, 0.372, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.712460945792092E9, 0.0, 2024-04-06 23:35:45.792
4.0, -185649.65553875634, -185617.5137302296, -185718.49891167867, -185682.087919961, -185690.73804506517, -185698.78467306908, -185760.9001709104, -185738.1460950549, 0.126, 0.372, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7124609457921052E9, 0.0, 2024-04-06 23:35:45.792
5.0, -185653.8576667139, -185621.89467214284, -185722.49987393618, -185686.15593745184, -185694.96252476724, -185703.07620800452, -185765.12465061244, -185742.37057475693, 0.126, 0.372, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7124609457921216E9, 0.0, 2024-04-06 23:35:45.792
6.0, -185654.72938474768, -185622.90050064333, -185723.326888481, -185687.05000723005, -185695.81189105654, -185704.14909173836, -185766.06342387956, -185743.30934802408, 0.126, 0.372, 0.29, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7124609457921348E9, 0.0, 2024-04-06 23:35:45.792
7.0, -185653.74590799166, -185621.64880295383, -185722.54457742508, -185686.15593745184, -185694.76135906714, -185702.96444928224, -185765.05759537907, -185742.1470573124, 0.192, 0.558, 0.43, 192.0, 6.0, 0.0, 17.0, 112.0, 13.0, 112.0, 0.0, 0.0, 0.0, 1.712460945792148E9, 0.0, 2024-04-06 23:35:45.792
8.0, -185652.6730242578, -185620.48651224215, -185721.5834524135, -185685.15010895135, -185693.75553056665, -185701.84686205946, -185764.02941513414, -185741.07417357853, 0.192, 0.558, 0.43, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.712460945792162E9, 0.0, 2024-04-06 23:35:45.792
9.0, -185658.28331211608, -185626.34266928944, -185726.9255193383, -185690.581582854, -185699.27641144712, -185707.59126038448, -185769.55029601458, -185746.77386841463, 0.192, 0.558, 0.43, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7124609457921748E9, 0.0, 2024-04-06 23:35:45.792
11.0, -185658.55153304955, -185626.49913150063, -185727.35020248298, -185690.89450727636, -185699.52228063613, -185707.83712957348, -185769.79616520362, -185747.0420893481, 0.192, 0.558, 0.43, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7124609457921877E9, 0.0, 2024-04-06 23:35:45.792
12.0, -185659.2220853832, -185627.03557336755, -185728.26662400566, -185691.60976309894, -185700.17048122533, -185708.41827492934, -185770.55612451507, -185747.73499342622, 0.192, 0.558, 0.43, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7124609457922003E9, 0.0, 2024-04-06 23:35:45.792
13.0, -185662.88777147388, -185630.85772166942, -185731.61938567393, -185695.2307457007, -185703.92557429383, -185712.17336799784, -185774.15475537238, -185751.42303126134, 0.192, 0.558, 0.43, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.712460945792216E9, 0.0, 2024-04-06 23:35:45.792
